state	pscore
1000000	392
2000000	393
3000000	392
4000000	392
5000000	392
6000000	392
7000000	392
8000000	393
9000000	393
10000000	392
11000000	392
12000000	392
13000000	392
14000000	393
15000000	392
16000000	392
17000000	392
18000000	392
19000000	392
20000000	392
21000000	392
22000000	393
23000000	392
24000000	392
25000000	392
26000000	392
27000000	392
28000000	392
29000000	392
30000000	392
31000000	393
32000000	392
33000000	393
34000000	393
35000000	392
36000000	392
37000000	392
38000000	393
39000000	393
40000000	392
41000000	392
42000000	392
43000000	392
44000000	392
45000000	392
46000000	392
47000000	393
48000000	392
49000000	392
50000000	392
51000000	392
52000000	392
53000000	392
54000000	392
55000000	392
56000000	392
57000000	392
58000000	392
59000000	392
60000000	392
61000000	392
62000000	392
63000000	392
64000000	392
65000000	392
66000000	392
67000000	392
68000000	393
69000000	392
70000000	392
71000000	392
72000000	392
73000000	392
74000000	392
75000000	392
76000000	392
77000000	392
78000000	392
79000000	392
80000000	393
81000000	392
82000000	392
83000000	393
84000000	392
85000000	392
86000000	393
87000000	392
88000000	392
89000000	393
90000000	392
91000000	392
92000000	392
93000000	392
94000000	392
95000000	392
96000000	392
97000000	392
98000000	392
99000000	392
100000000	392
101000000	392
102000000	392
103000000	392
104000000	392
105000000	392
106000000	392
107000000	392
108000000	392
109000000	392
110000000	392
111000000	392
112000000	392
113000000	392
114000000	392
115000000	392
116000000	392
117000000	392
118000000	392
119000000	392
120000000	392
121000000	392
122000000	392
123000000	392
124000000	393
125000000	392
126000000	392
127000000	392
128000000	392
129000000	393
130000000	392
131000000	392
132000000	393
133000000	392
134000000	392
135000000	392
136000000	392
137000000	392
138000000	393
139000000	392
140000000	392
141000000	392
142000000	392
143000000	392
144000000	392
145000000	392
146000000	392
147000000	392
148000000	392
149000000	392
150000000	392
151000000	392
152000000	392
153000000	393
154000000	392
155000000	392
156000000	392
157000000	392
158000000	392
159000000	392
160000000	393
161000000	392
162000000	392
163000000	393
164000000	392
165000000	393
166000000	394
167000000	392
168000000	394
169000000	392
170000000	392
171000000	392
172000000	392
173000000	392
174000000	392
175000000	392
176000000	392
177000000	392
178000000	392
179000000	393
180000000	392
181000000	393
182000000	392
183000000	392
184000000	393
185000000	392
186000000	392
187000000	393
188000000	392
189000000	392
190000000	392
191000000	392
192000000	392
193000000	392
194000000	392
195000000	392
196000000	392
197000000	392
198000000	393
199000000	392
200000000	392
