state	cp12.kappa	cp3.kappa	cp12.alpha	cp3.alpha	cp12.mu	cp3.mu	cp12.frequencies1	cp12.frequencies2	cp12.frequencies3	cp12.frequencies4	cp3.frequencies1	cp3.frequencies2	cp3.frequencies3	cp3.frequencies4	avian.rate	equine.rate	galliform1.rate	human1.rate	shorebird1.rate	swine1.rate	swine2.rate	swine3.rate	skygrid.precision	rootHeight	treeLength	tmrca(equine1)	tmrca(equine2)	tmrca(galliform1)	tmrca(human1)	tmrca(shorebird1)	tmrca(swine1)	tmrca(swine2)	tmrca(swine3)
1000000	8.475	16.329	0.2193	1.2209	0.3973	2.2055	0.3554	0.2492	0.1770	0.2184	0.3759	0.1905	0.1828	0.2508	2.0929E-3	1.4778E-3	2.5833E-3	1.7568E-3	2.9297E-3	2.4756E-3	2.6482E-3	2.0948E-3	76.579	761.251	3990.519	51.237	65.041	17.887	82.623	48.253	83.423	30.625	15.164
2000000	9.068	16.078	0.2115	1.1732	0.4391	2.1218	0.3470	0.2341	0.1983	0.2206	0.3879	0.1872	0.1872	0.2377	2.0809E-3	1.3729E-3	3.0315E-3	1.8532E-3	3.0584E-3	2.637E-3	2.3561E-3	2.06E-3	75.057	1060.664	4681.299	52.289	66.905	18.113	81.138	47.090	82.415	32.483	15.760
3000000	8.061	16.259	0.2304	1.3165	0.3921	2.2157	0.3402	0.2439	0.2001	0.2157	0.3747	0.1931	0.1830	0.2491	2.084E-3	1.4125E-3	2.7003E-3	1.9059E-3	2.9648E-3	2.6257E-3	2.7332E-3	2.4347E-3	14.978	1028.026	4595.053	51.961	69.757	18.459	83.242	48.501	83.089	30.942	14.790
4000000	7.758	17.361	0.2267	1.2567	0.4019	2.1963	0.3429	0.2522	0.1926	0.2123	0.3714	0.1981	0.1829	0.2477	2.1859E-3	1.4528E-3	2.8314E-3	1.7805E-3	3.3651E-3	2.5329E-3	2.4596E-3	2.5261E-3	30.351	984.651	4527.911	53.193	68.468	17.821	83.258	48.613	84.170	31.608	14.415
5000000	7.917	16.770	0.2153	1.1352	0.4134	2.1733	0.3481	0.2518	0.1971	0.2031	0.3847	0.1875	0.1816	0.2461	2.0436E-3	1.4365E-3	2.452E-3	1.7843E-3	3.001E-3	2.4164E-3	2.0849E-3	2.0435E-3	31.042	1142.642	4803.330	52.657	67.700	17.658	82.460	47.946	83.303	32.379	14.976
6000000	9.212	16.441	0.2295	1.2476	0.4117	2.1766	0.3586	0.2560	0.1807	0.2047	0.3749	0.1906	0.1828	0.2517	2.2264E-3	1.4887E-3	3.0259E-3	1.7124E-3	3.3447E-3	2.4523E-3	2.3127E-3	2.6946E-3	82.247	951.515	4415.181	51.447	66.542	18.206	83.821	47.047	83.387	32.476	14.110
7000000	7.882	17.170	0.2212	1.2588	0.3927	2.2146	0.3405	0.2505	0.1928	0.2162	0.3728	0.1977	0.1815	0.2480	2.2382E-3	1.6033E-3	3.1067E-3	1.7755E-3	3.0259E-3	2.6098E-3	2.6501E-3	2.4372E-3	31.323	897.364	4284.676	50.561	66.769	17.862	83.103	47.998	83.020	31.626	15.556
8000000	9.011	16.750	0.2273	1.2988	0.3802	2.2395	0.3537	0.2545	0.1767	0.2151	0.3754	0.1986	0.1797	0.2462	2.2054E-3	1.3901E-3	2.6935E-3	1.6918E-3	3.1275E-3	2.4464E-3	2.1274E-3	2.3222E-3	45.060	973.813	4452.893	51.560	65.687	18.459	83.245	49.513	83.263	32.120	14.157
9000000	8.299	16.580	0.2211	1.1736	0.4089	2.1821	0.3622	0.2472	0.1707	0.2200	0.3791	0.1969	0.1814	0.2426	2.1155E-3	1.6307E-3	2.8677E-3	1.8131E-3	2.8284E-3	2.3589E-3	2.1481E-3	2.1874E-3	94.219	983.539	4433.394	50.811	65.696	17.718	82.186	48.134	84.600	32.192	15.116
10000000	7.607	16.792	0.2076	1.1476	0.3767	2.2465	0.3467	0.2546	0.1952	0.2035	0.3789	0.1914	0.1796	0.2501	2.1203E-3	1.4861E-3	2.7517E-3	1.723E-3	2.8788E-3	2.3117E-3	2.4102E-3	2.0098E-3	29.002	898.095	4307.198	51.383	66.690	17.990	81.921	47.603	83.191	30.514	14.982
11000000	8.707	16.250	0.2202	1.1861	0.4269	2.1462	0.3554	0.2393	0.1944	0.2110	0.3809	0.1923	0.1785	0.2483	2.2258E-3	1.6121E-3	3.0294E-3	1.949E-3	3.1572E-3	2.3844E-3	2.1575E-3	2.753E-3	63.624	872.818	4197.133	50.779	65.279	17.454	80.431	47.692	84.085	31.909	14.571
12000000	7.823	16.638	0.2242	1.3135	0.4051	2.1899	0.3430	0.2343	0.1954	0.2273	0.3836	0.1878	0.1807	0.2479	2.2071E-3	1.3465E-3	3.148E-3	1.7825E-3	3.123E-3	2.4501E-3	2.2098E-3	2.2816E-3	40.737	968.827	4446.821	54.370	69.796	17.513	83.291	49.023	83.683	31.068	15.109
13000000	8.480	17.033	0.2248	1.2403	0.4234	2.1532	0.3690	0.2451	0.1772	0.2087	0.3787	0.1986	0.1792	0.2435	2.2114E-3	1.5683E-3	3.1029E-3	1.8717E-3	3.1565E-3	2.4066E-3	2.2758E-3	2.5154E-3	71.011	935.503	4375.861	51.363	65.852	17.859	83.574	48.272	84.436	30.852	15.412
14000000	9.155	16.933	0.2050	1.4657	0.3790	2.2419	0.3385	0.2610	0.1886	0.2119	0.3667	0.1972	0.1840	0.2521	2.2127E-3	1.609E-3	2.9094E-3	1.8581E-3	3.4017E-3	2.4957E-3	2.3232E-3	2.3443E-3	45.664	1206.917	4883.431	51.627	66.429	17.722	83.083	48.305	83.713	32.006	14.613
15000000	7.647	16.722	0.2311	1.2419	0.3823	2.2354	0.3430	0.2378	0.1907	0.2285	0.3769	0.1921	0.1890	0.2420	2.0736E-3	1.4734E-3	2.56E-3	1.6995E-3	2.9493E-3	2.3501E-3	2.1237E-3	2.34E-3	47.162	1032.271	4613.966	52.611	66.387	17.891	83.296	48.722	83.654	31.741	14.020
16000000	8.663	16.560	0.2198	1.2447	0.3859	2.2282	0.3496	0.2487	0.1886	0.2131	0.3769	0.1953	0.1789	0.2490	2.2155E-3	1.639E-3	3.1541E-3	1.773E-3	3.0661E-3	2.3752E-3	2.3142E-3	2.6364E-3	1461.956	819.885	4119.219	51.269	64.916	17.722	83.236	49.946	83.491	31.148	14.388
17000000	7.865	16.021	0.2183	1.2279	0.4067	2.1867	0.3451	0.2428	0.1973	0.2148	0.3717	0.1975	0.1772	0.2537	2.1699E-3	1.3194E-3	2.5647E-3	1.9799E-3	3.0233E-3	2.3549E-3	2.4396E-3	2.6471E-3	908.643	783.946	4115.852	52.460	67.821	17.824	81.493	49.038	84.433	31.109	15.083
18000000	8.024	16.689	0.2072	1.3195	0.4246	2.1508	0.3607	0.2345	0.1992	0.2056	0.3682	0.1938	0.1791	0.2589	2.2264E-3	1.6743E-3	3.1858E-3	1.8208E-3	2.9368E-3	2.5397E-3	2.6985E-3	2.9958E-3	26.784	1061.215	4628.041	50.358	66.453	17.450	82.503	49.201	83.882	30.862	14.353
19000000	8.849	16.629	0.2178	1.2754	0.4170	2.1660	0.3726	0.2409	0.1737	0.2128	0.3751	0.1944	0.1849	0.2455	2.1811E-3	1.4121E-3	3.0194E-3	1.8268E-3	2.9655E-3	2.561E-3	2.2691E-3	2.5637E-3	33.937	963.000	4433.660	51.618	67.759	17.943	82.544	47.785	82.543	30.930	15.230
20000000	8.350	16.648	0.2030	1.1260	0.3788	2.2425	0.3514	0.2279	0.1867	0.2340	0.3789	0.1981	0.1773	0.2457	2.045E-3	1.4346E-3	2.3874E-3	1.7011E-3	2.8811E-3	2.3361E-3	2.1097E-3	2.1759E-3	56.660	911.327	4423.928	51.278	66.273	18.183	82.523	48.960	84.393	32.583	15.158
21000000	7.551	17.103	0.2365	1.2681	0.3881	2.2238	0.3531	0.2465	0.1885	0.2119	0.3744	0.1940	0.1849	0.2467	2.1654E-3	1.4377E-3	2.7532E-3	1.7333E-3	3.0576E-3	2.3453E-3	2.5443E-3	2.6899E-3	432.988	1019.985	4539.313	52.357	68.519	18.153	83.563	49.655	83.562	30.853	14.714
22000000	8.165	16.919	0.2321	1.2323	0.4184	2.1633	0.3562	0.2372	0.1941	0.2125	0.3725	0.1982	0.1829	0.2463	2.0901E-3	1.6951E-3	2.6657E-3	1.8535E-3	3.1604E-3	2.2966E-3	2.5017E-3	2.1901E-3	99.759	852.828	4244.989	51.929	65.992	18.347	83.279	46.966	83.412	30.936	14.916
23000000	8.375	15.972	0.2163	1.2277	0.4307	2.1386	0.3489	0.2399	0.1968	0.2144	0.3770	0.1943	0.1841	0.2445	2.1497E-3	1.4872E-3	2.9933E-3	1.7802E-3	2.9545E-3	2.3519E-3	2.5092E-3	2.5978E-3	28.908	963.350	4468.399	51.579	68.043	17.549	83.372	48.868	84.279	31.159	14.225
24000000	7.982	16.273	0.2284	1.2113	0.3917	2.2166	0.3577	0.2557	0.1800	0.2065	0.3718	0.1959	0.1761	0.2562	2.2339E-3	1.4968E-3	2.7648E-3	1.7546E-3	2.9564E-3	2.4915E-3	2.4097E-3	2.5405E-3	117.501	890.551	4278.437	51.629	68.471	17.888	82.115	48.347	83.629	31.245	14.721
25000000	8.645	17.141	0.2374	1.1683	0.3932	2.2137	0.3599	0.2443	0.1854	0.2105	0.3824	0.1931	0.1804	0.2441	2.2146E-3	1.4716E-3	3.0388E-3	1.8246E-3	3.2597E-3	2.4839E-3	2.3627E-3	2.3481E-3	32.473	808.373	4048.350	51.605	68.105	17.948	84.244	49.815	83.837	31.535	14.031
26000000	7.957	17.152	0.2167	1.3663	0.3852	2.2297	0.3464	0.2485	0.1819	0.2233	0.3706	0.1953	0.1808	0.2532	2.3222E-3	1.6813E-3	2.9563E-3	1.9851E-3	3.3406E-3	2.5633E-3	2.5169E-3	2.7305E-3	158.952	927.615	4293.920	51.745	66.099	17.977	81.482	47.832	83.130	32.426	15.086
27000000	8.005	16.536	0.2089	1.3348	0.3796	2.2408	0.3377	0.2499	0.1991	0.2133	0.3763	0.1872	0.1869	0.2496	2.201E-3	1.5093E-3	2.9312E-3	2.0435E-3	3.024E-3	2.4269E-3	2.6175E-3	2.3716E-3	179.939	1004.513	4535.069	51.087	66.022	17.719	82.235	49.000	83.316	31.000	15.131
28000000	7.928	16.204	0.1986	1.3089	0.4062	2.1876	0.3480	0.2445	0.1922	0.2153	0.3820	0.1896	0.1835	0.2449	2.1763E-3	1.5591E-3	3.4887E-3	1.9471E-3	2.9966E-3	2.3809E-3	2.1489E-3	2.3697E-3	29.589	942.345	4396.099	51.309	65.195	17.233	81.359	50.036	83.455	31.532	15.451
29000000	8.677	17.126	0.2116	1.2801	0.4057	2.1886	0.3567	0.2405	0.1795	0.2234	0.3811	0.1938	0.1884	0.2368	2.2911E-3	1.6544E-3	3.2015E-3	1.9302E-3	3.6336E-3	2.6719E-3	2.4577E-3	2.8816E-3	37.678	976.140	4460.088	52.641	65.476	17.769	81.917	48.642	84.086	32.235	14.010
30000000	8.521	16.522	0.2287	1.2608	0.4274	2.1453	0.3576	0.2438	0.1880	0.2106	0.3626	0.1935	0.1897	0.2541	2.1225E-3	1.4755E-3	3.1618E-3	1.7626E-3	3.449E-3	2.5319E-3	2.5152E-3	2.3725E-3	43.103	883.935	4312.570	50.884	69.602	17.550	82.800	48.495	83.642	31.311	15.725
31000000	8.529	16.730	0.2334	1.3341	0.4160	2.1680	0.3612	0.2441	0.1827	0.2120	0.3797	0.1871	0.1843	0.2488	2.2486E-3	1.5432E-3	2.8475E-3	1.8827E-3	3.2768E-3	2.3572E-3	2.7077E-3	2.4697E-3	58.046	777.889	4016.537	51.210	68.378	17.463	83.377	49.912	83.225	30.669	14.458
32000000	8.498	16.754	0.2148	1.2336	0.4065	2.1871	0.3416	0.2526	0.1959	0.2099	0.3801	0.1993	0.1817	0.2390	2.1138E-3	1.6973E-3	3.0727E-3	1.952E-3	3.171E-3	2.431E-3	2.4598E-3	2.6072E-3	119.440	873.766	4317.440	52.141	65.962	17.804	82.762	47.502	83.948	31.756	14.290
33000000	8.796	16.102	0.2178	1.1059	0.4050	2.1899	0.3399	0.2580	0.1914	0.2107	0.3793	0.1881	0.1839	0.2487	2.193E-3	1.2125E-3	3.5337E-3	1.8688E-3	3.0302E-3	2.2786E-3	2.3773E-3	2.3044E-3	33.548	833.638	4129.071	54.217	71.042	17.626	81.330	47.911	83.595	31.183	15.062
34000000	8.676	16.427	0.2217	1.2667	0.3762	2.2477	0.3432	0.2383	0.1950	0.2235	0.3719	0.1981	0.1801	0.2499	2.1793E-3	1.3986E-3	3.0621E-3	1.8583E-3	3.0504E-3	2.2818E-3	2.4359E-3	2.1967E-3	122.202	914.973	4355.040	51.223	67.269	17.698	82.951	49.944	82.939	31.268	14.996
35000000	7.878	17.314	0.2295	1.1828	0.3772	2.2455	0.3469	0.2517	0.1902	0.2112	0.3755	0.2034	0.1773	0.2438	2.179E-3	1.4398E-3	3.0906E-3	1.8379E-3	3.0263E-3	2.5001E-3	2.2791E-3	2.6984E-3	131.366	980.505	4475.673	51.760	69.161	17.654	83.239	48.123	83.926	31.479	14.428
36000000	8.151	15.853	0.2161	1.1016	0.4108	2.1784	0.3403	0.2438	0.1918	0.2242	0.3861	0.1918	0.1796	0.2425	2.1826E-3	1.5602E-3	3.5898E-3	1.8049E-3	2.9737E-3	2.2959E-3	2.4168E-3	2.0418E-3	164.768	942.508	4326.484	50.728	61.469	17.535	82.472	48.211	83.378	31.070	15.021
37000000	8.112	16.497	0.2092	1.1682	0.4198	2.1603	0.3563	0.2431	0.1811	0.2196	0.3840	0.1902	0.1790	0.2468	2.0842E-3	1.4847E-3	2.7351E-3	1.7733E-3	3.0682E-3	2.385E-3	2.3096E-3	2.2783E-3	87.507	1031.794	4586.320	51.309	69.765	17.750	82.838	48.229	82.907	31.594	14.326
38000000	8.635	16.422	0.2289	1.2242	0.4115	2.1770	0.3346	0.2578	0.1795	0.2280	0.3736	0.1973	0.1852	0.2439	2.2345E-3	1.4654E-3	2.7082E-3	1.7844E-3	3.1149E-3	2.4212E-3	2.3347E-3	2.4141E-3	54.308	925.755	4325.386	51.384	67.524	18.076	82.286	48.649	83.639	31.284	14.311
39000000	9.123	16.461	0.2307	1.2131	0.3991	2.2017	0.3587	0.2390	0.1820	0.2203	0.3752	0.1912	0.1817	0.2519	2.2832E-3	1.708E-3	3.1215E-3	1.8816E-3	2.9083E-3	2.6477E-3	2.1642E-3	3.0036E-3	371.905	1036.573	4564.068	51.071	66.788	18.193	82.770	49.909	83.521	31.047	14.092
40000000	7.513	15.831	0.2182	1.2156	0.3924	2.2153	0.3468	0.2366	0.2004	0.2161	0.3704	0.1991	0.1824	0.2481	2.1458E-3	1.5791E-3	2.4852E-3	1.7316E-3	3.1442E-3	2.5198E-3	2.3394E-3	2.4E-3	335.460	799.693	4033.499	50.793	65.193	18.099	82.830	47.343	82.891	31.735	14.362
41000000	8.430	16.128	0.2071	1.2216	0.3986	2.2028	0.3513	0.2430	0.1993	0.2064	0.3740	0.1986	0.1823	0.2450	2.1162E-3	1.571E-3	2.9336E-3	1.9265E-3	3.3507E-3	2.3254E-3	2.1574E-3	2.8585E-3	172.490	1078.495	4677.448	52.695	66.591	17.657	82.475	48.746	83.500	32.316	13.716
42000000	8.524	15.977	0.2287	1.1037	0.4082	2.1835	0.3533	0.2493	0.1787	0.2187	0.3710	0.1996	0.1769	0.2525	2.1068E-3	1.378E-3	2.8942E-3	1.651E-3	2.6453E-3	2.3035E-3	2.1281E-3	2.5085E-3	175.298	850.867	4207.913	52.669	70.063	17.959	83.723	48.439	82.971	31.642	14.656
43000000	7.928	16.207	0.2408	1.4506	0.4215	2.1569	0.3413	0.2397	0.1959	0.2231	0.3702	0.1963	0.1839	0.2496	2.1636E-3	1.4215E-3	3.0255E-3	1.8704E-3	2.7429E-3	2.307E-3	2.2998E-3	2.9136E-3	43.854	812.264	4136.934	53.124	68.377	17.882	80.870	47.605	83.424	31.012	14.248
44000000	7.658	16.744	0.2385	1.1355	0.3892	2.2216	0.3537	0.2384	0.1809	0.2271	0.3736	0.1988	0.1782	0.2494	2.2979E-3	1.5972E-3	2.9378E-3	1.8422E-3	3.434E-3	2.573E-3	2.3533E-3	2.5606E-3	82.769	863.378	4132.076	51.679	62.558	17.545	83.147	47.257	83.627	31.269	15.091
45000000	7.868	16.511	0.2162	1.3343	0.3871	2.2258	0.3568	0.2465	0.1845	0.2121	0.3811	0.1895	0.1803	0.2491	2.1705E-3	1.4827E-3	2.7525E-3	1.7717E-3	3.1333E-3	2.3175E-3	2.373E-3	2.4973E-3	26.169	918.016	4313.992	51.073	65.946	18.123	82.914	47.864	83.199	31.200	15.238
46000000	8.946	15.522	0.2311	1.1968	0.4190	2.1621	0.3498	0.2449	0.1792	0.2260	0.3806	0.2028	0.1775	0.2391	2.1027E-3	1.4743E-3	2.684E-3	1.8276E-3	3.1821E-3	2.3327E-3	2.4311E-3	2.7083E-3	84.325	819.920	4153.244	51.034	66.706	17.531	83.365	50.355	83.693	31.141	13.991
47000000	7.732	17.395	0.2249	1.2940	0.3601	2.2798	0.3569	0.2460	0.1842	0.2128	0.3720	0.1958	0.1821	0.2501	2.3065E-3	1.5992E-3	2.9277E-3	1.8257E-3	2.8831E-3	2.5342E-3	2.2661E-3	2.1738E-3	45.784	755.146	3998.986	52.338	66.011	17.905	83.061	47.546	83.617	31.689	15.110
48000000	7.250	16.638	0.2338	1.2471	0.4020	2.1959	0.3639	0.2459	0.1844	0.2057	0.3782	0.1887	0.1917	0.2414	2.1904E-3	1.4211E-3	3.062E-3	1.7496E-3	3.1628E-3	2.6195E-3	2.4587E-3	2.4752E-3	77.733	933.569	4418.801	52.010	70.554	17.645	83.331	49.902	83.559	31.132	15.296
49000000	8.312	17.137	0.2245	1.2399	0.4183	2.1634	0.3500	0.2445	0.1834	0.2220	0.3781	0.1967	0.1781	0.2470	2.1125E-3	1.51E-3	3.0887E-3	1.7295E-3	3.1888E-3	2.2597E-3	2.5025E-3	2.3701E-3	71.903	857.458	4216.776	50.918	62.806	17.640	83.002	51.675	84.124	31.137	14.122
50000000	8.231	16.736	0.2213	1.2998	0.4226	2.1547	0.3423	0.2451	0.1913	0.2212	0.3743	0.1979	0.1795	0.2483	2.1634E-3	1.418E-3	3.0714E-3	1.7588E-3	3.1708E-3	2.4132E-3	2.4782E-3	2.3697E-3	222.505	1093.016	4681.523	52.426	69.847	17.824	84.472	48.897	83.163	30.719	14.424
51000000	7.686	17.513	0.2096	1.2847	0.4081	2.1838	0.3351	0.2476	0.1913	0.2260	0.3723	0.2062	0.1802	0.2413	2.1956E-3	1.457E-3	3.2691E-3	2.0707E-3	2.8632E-3	2.4782E-3	2.2831E-3	2.6401E-3	85.252	1037.512	4546.235	50.686	69.846	17.532	82.245	48.333	82.909	31.054	14.924
52000000	8.555	16.737	0.2323	1.1882	0.3804	2.2391	0.3412	0.2611	0.1820	0.2157	0.3792	0.1996	0.1774	0.2437	2.1396E-3	1.3841E-3	3.2522E-3	1.7232E-3	2.9528E-3	2.4655E-3	2.4852E-3	2.4278E-3	109.711	912.788	4328.538	54.527	64.891	17.884	82.729	48.045	83.267	31.789	14.444
53000000	7.483	16.106	0.2221	1.2011	0.3928	2.2145	0.3642	0.2434	0.1803	0.2121	0.3764	0.1960	0.1746	0.2530	2.0992E-3	1.4181E-3	3.1193E-3	1.7281E-3	2.8405E-3	2.3751E-3	2.361E-3	2.325E-3	27.506	1018.682	4502.984	51.251	68.374	17.420	82.174	48.856	83.711	31.009	14.796
54000000	9.001	16.360	0.2130	1.2183	0.3939	2.2122	0.3577	0.2408	0.1903	0.2111	0.3821	0.1955	0.1801	0.2423	2.0753E-3	1.4624E-3	2.8106E-3	1.8141E-3	2.7734E-3	2.5987E-3	2.3637E-3	2.3096E-3	31.846	995.253	4509.031	50.581	64.984	17.535	81.741	51.245	84.133	31.029	14.670
55000000	7.763	16.670	0.2202	1.2061	0.3952	2.2097	0.3666	0.2291	0.1847	0.2196	0.3775	0.1990	0.1764	0.2472	2.2021E-3	1.3489E-3	3.4384E-3	1.8167E-3	2.9684E-3	2.4942E-3	2.7339E-3	2.4004E-3	42.927	799.103	4039.729	53.291	68.310	17.873	82.697	47.918	83.672	30.758	13.824
56000000	7.099	15.976	0.2124	1.1898	0.4269	2.1463	0.3419	0.2402	0.2067	0.2112	0.3854	0.1928	0.1790	0.2428	2.189E-3	1.5456E-3	2.8102E-3	1.8037E-3	3.1436E-3	2.5818E-3	2.2822E-3	2.6385E-3	62.439	949.445	4412.832	50.856	66.930	17.887	84.336	48.719	83.829	31.429	14.605
57000000	7.544	16.325	0.2160	1.2146	0.3985	2.2030	0.3531	0.2559	0.1795	0.2115	0.3728	0.1972	0.1781	0.2520	2.0974E-3	1.4858E-3	2.5063E-3	1.7813E-3	2.9644E-3	2.3038E-3	2.2826E-3	2.3963E-3	27.565	967.722	4473.983	52.484	67.042	18.278	82.937	49.142	83.162	31.516	14.420
58000000	7.979	16.575	0.2220	1.2661	0.3776	2.2447	0.3428	0.2557	0.1861	0.2154	0.3794	0.1895	0.1835	0.2475	2.1971E-3	1.6235E-3	3.0731E-3	1.7854E-3	2.7362E-3	2.5022E-3	2.4355E-3	2.3714E-3	393.811	732.042	3919.959	51.742	64.510	17.745	82.685	47.768	83.681	31.177	14.754
59000000	7.878	16.599	0.2258	1.3823	0.3989	2.2023	0.3512	0.2484	0.1939	0.2064	0.3860	0.1877	0.1869	0.2394	2.1452E-3	1.8472E-3	3.2439E-3	1.9413E-3	3.2598E-3	2.4114E-3	2.1626E-3	2.8253E-3	50.220	835.005	4164.591	50.434	64.724	17.744	82.112	47.195	84.726	31.829	14.439
60000000	8.482	16.402	0.2123	1.2241	0.4195	2.1611	0.3414	0.2554	0.1882	0.2151	0.3704	0.1935	0.1834	0.2527	2.2166E-3	1.4658E-3	2.8952E-3	1.8534E-3	2.8794E-3	2.4058E-3	2.6442E-3	2.5822E-3	39.541	843.566	4181.249	51.510	68.598	18.034	83.143	48.023	82.418	31.016	15.293
61000000	8.500	16.752	0.2063	1.3026	0.4089	2.1822	0.3452	0.2410	0.1917	0.2222	0.3806	0.1971	0.1775	0.2449	2.189E-3	1.4681E-3	2.783E-3	1.757E-3	3.3758E-3	2.4166E-3	2.6801E-3	2.3631E-3	22.137	990.315	4440.645	50.510	67.017	18.294	84.220	47.318	84.159	31.049	14.759
62000000	8.108	15.874	0.2245	1.1237	0.4121	2.1759	0.3579	0.2521	0.1812	0.2088	0.3833	0.1982	0.1814	0.2371	2.2654E-3	1.4301E-3	3.1568E-3	1.8447E-3	3.147E-3	2.5342E-3	2.3138E-3	2.7518E-3	25.058	869.874	4157.048	51.183	65.698	17.881	82.948	48.125	83.541	32.293	14.095
63000000	7.724	17.101	0.2313	1.3291	0.3922	2.2156	0.3407	0.2511	0.1867	0.2215	0.3750	0.1926	0.1858	0.2467	2.2386E-3	1.5672E-3	3.3236E-3	1.7347E-3	3.2647E-3	2.1814E-3	2.4368E-3	2.4824E-3	619.741	784.489	4020.237	51.386	64.562	17.133	82.978	48.160	84.228	31.817	14.833
64000000	8.004	16.619	0.2221	1.3028	0.3977	2.2046	0.3592	0.2538	0.1819	0.2052	0.3741	0.2002	0.1851	0.2406	2.2879E-3	1.7132E-3	3.0805E-3	1.9332E-3	3.2399E-3	2.3568E-3	2.2598E-3	2.4787E-3	118.422	1003.318	4462.725	52.757	66.660	17.798	82.553	47.279	83.357	31.557	15.081
65000000	7.294	16.536	0.2354	1.1596	0.4032	2.1937	0.3673	0.2307	0.1825	0.2195	0.3824	0.1912	0.1771	0.2493	2.176E-3	1.5152E-3	2.8564E-3	1.7346E-3	3.0469E-3	2.2549E-3	2.501E-3	3.0189E-3	96.129	844.896	4190.061	50.988	68.701	17.725	82.452	49.851	83.904	31.086	13.754
66000000	7.937	16.862	0.2193	1.2297	0.3651	2.2699	0.3463	0.2421	0.1917	0.2199	0.3761	0.1959	0.1765	0.2514	2.2764E-3	1.4549E-3	2.9426E-3	1.7803E-3	3.3406E-3	2.6157E-3	2.6555E-3	2.6083E-3	37.374	926.658	4391.088	52.212	68.045	18.066	84.401	49.007	84.939	30.977	14.369
67000000	8.486	17.166	0.2360	1.1378	0.3938	2.2123	0.3489	0.2542	0.1780	0.2188	0.3831	0.1903	0.1835	0.2431	2.1137E-3	1.3134E-3	3.011E-3	1.8417E-3	3.4113E-3	2.1842E-3	2.1735E-3	2.378E-3	123.187	950.470	4440.433	53.476	71.872	17.856	82.535	47.152	83.494	31.471	13.963
68000000	7.830	17.215	0.1970	1.2075	0.4158	2.1684	0.3629	0.2409	0.1792	0.2171	0.3851	0.1884	0.1812	0.2453	2.1455E-3	1.3017E-3	3.2278E-3	1.7207E-3	2.969E-3	2.4498E-3	2.4018E-3	2.1357E-3	36.358	1008.640	4520.014	51.794	68.010	17.809	82.927	49.351	83.692	31.572	15.684
69000000	8.451	16.700	0.2368	1.2157	0.3760	2.2480	0.3530	0.2391	0.1924	0.2156	0.3712	0.1974	0.1810	0.2503	2.0703E-3	1.4636E-3	2.7588E-3	1.6653E-3	3.1078E-3	2.4621E-3	2.2685E-3	2.8231E-3	36.539	970.495	4505.007	51.461	69.080	18.093	84.167	48.945	83.672	31.280	13.892
70000000	8.614	16.947	0.2264	1.3732	0.3860	2.2280	0.3443	0.2503	0.1864	0.2190	0.3771	0.1927	0.1858	0.2444	2.1934E-3	1.4664E-3	3.3931E-3	1.785E-3	3.2566E-3	2.3861E-3	2.4206E-3	2.2618E-3	130.815	768.316	4065.624	52.120	65.527	18.029	82.293	48.960	84.217	31.135	15.889
71000000	8.519	16.837	0.2166	1.3237	0.3955	2.2090	0.3574	0.2412	0.1800	0.2214	0.3692	0.2037	0.1747	0.2524	2.1646E-3	1.3741E-3	3.6881E-3	1.7882E-3	3.1946E-3	2.3514E-3	2.0939E-3	2.4407E-3	14.185	1037.724	4598.365	51.791	69.721	17.673	83.017	49.637	83.723	32.395	15.350
72000000	7.481	16.426	0.2217	1.2654	0.4119	2.1762	0.3430	0.2437	0.1978	0.2154	0.3879	0.1890	0.1796	0.2435	2.1183E-3	1.5003E-3	2.1532E-3	1.8766E-3	3.1747E-3	2.4574E-3	2.5204E-3	2.4513E-3	62.041	896.576	4306.628	50.722	69.134	17.888	83.462	47.480	83.514	31.912	14.936
73000000	8.146	16.605	0.2285	1.2926	0.3907	2.2186	0.3439	0.2519	0.1831	0.2212	0.3766	0.1937	0.1825	0.2472	2.1511E-3	1.5472E-3	2.7117E-3	1.8121E-3	3.2673E-3	2.4063E-3	2.4528E-3	2.5685E-3	24.201	927.319	4388.249	51.598	66.386	17.800	82.050	50.076	83.567	31.532	14.348
74000000	9.099	16.758	0.2156	1.2661	0.4027	2.1945	0.3622	0.2524	0.1737	0.2117	0.3749	0.1930	0.1837	0.2484	2.1869E-3	1.4087E-3	3.1327E-3	1.9438E-3	3.4515E-3	2.4392E-3	2.5812E-3	2.8606E-3	9.160	962.796	4435.447	52.069	68.335	18.174	81.904	49.731	83.030	30.830	13.560
75000000	8.421	16.731	0.2236	1.1523	0.3974	2.2052	0.3472	0.2459	0.1863	0.2206	0.3786	0.1968	0.1828	0.2418	2.1463E-3	1.5624E-3	3.2476E-3	1.7265E-3	2.8471E-3	2.5717E-3	2.5678E-3	2.0634E-3	145.517	976.640	4422.226	50.550	66.401	17.619	82.104	48.490	82.439	31.400	14.528
